title,link,rating,comments
HP ProLiant DL360P G8 Server 2.60Ghz 16-Core 96GB 2X 300GB Enterprise (Renewed),https://www.amazon.com/HP-ProLiant-DL360P-G8-Refurbished/dp/B07JYLCBVP/ref=zg_bs_g_11036071_d_sccl_11/139-0758525-3734348?psc=1,4.2,105
RAISING ELECTRONICS 1U Rack Mount Sliding Keyboard Tray Cantilever for Server Data Network Rack,https://www.amazon.com/Raising-Electronic-Sliding-Keyboard-Cantilever/dp/B06VSHBCDV/ref=zg_bs_g_11036071_d_sccl_12/139-0758525-3734348?psc=1,3.8,85
Microsoft Windows Server 2022 Standard | Base License with media and key | 16 Core,https://www.amazon.com/Microsoft-Windows-Server-Standard-64-bit/dp/B09DVN75F5/ref=zg_bs_g_11036071_d_sccl_13/139-0758525-3734348?psc=1,4.1,13
Dell PowerEdge R740xd Server Gold 6154 3.00Ghz 18-Core 192GB RAM 12x Caddies (Renewed),https://www.amazon.com/Dell-PowerEdge-R740xd-3-00Ghz-18-Core/dp/B0CSR865S6/ref=zg_bs_g_11036071_d_sccl_14/139-0758525-3734348?psc=1,5.0,1
"iDRAC6 Enterprise Remote Access Card, iDRAC6 Enterprise Remote Access Controller for R210 R310 T310 R410 T410 R510 R610 R710 Server",https://www.amazon.com/CCYLEZ-iDRAC6-Enterprise-Controller-PowerEdge/dp/B0CB1DNVRP/ref=zg_bs_g_11036071_d_sccl_15/139-0758525-3734348?psc=1,5.0,3
"HPE ProLiant ML110 G10 4.5U Tower Server - 1 x Intel Xeon Silver 4210R 2.40 GHz - 16 GB RAM - Serial ATA/600, 12Gb/s SAS Controller",https://www.amazon.com/ProLiant-ML110-4-5U-Tower-Server/dp/B08TX5GC1K/ref=zg_bs_g_11036071_d_sccl_16/139-0758525-3734348?psc=1,,0
"Dell PowerEdge R340 4X LFF, Xeon E-2136 3.30GHz 6-Core CPU, 16GB Memory, PERC H330, 2X Trays, Rails (Renewed)",https://www.amazon.com/Dell-PowerEdge-3-30GHz-6-Core-Renewed/dp/B0FDCVJ69F/ref=zg_bs_g_11036071_d_sccl_17/139-0758525-3734348?psc=1,,0
"Glovary 19 Inch Firewall Rackmount N200, 4 x i226V 2.5GbE LAN, 19"" OPNsense Router Hardware, DDR5 8GB RAM 64GB SSD, AES-NI, 1U Rack Firewall Appliance, HD+VGA Dual Display",https://www.amazon.com/Glovary-Firewall-Rackmount-Hardware-Appliance/dp/B0D457CK5N/ref=zg_bs_g_11036071_d_sccl_18/139-0758525-3734348?psc=1,4.6,3
Lenovo (4X31S04810) Servers,https://www.amazon.com/Lenovo-4X31S04810-Servers/dp/B0FSL4PYN3/ref=zg_bs_g_11036071_d_sccl_19/139-0758525-3734348?psc=1,,0
Dell PowerEdge T330 8 x 3.5 Hot Plug E3-1220 V5 Quad Core 3Ghz 4GB H330 2X Trays 2X 495W (Renewed),https://www.amazon.com/Dell-PowerEdge-E3-1220-Trays-Renewed/dp/B0CKZ3BMR4/ref=zg_bs_g_11036071_d_sccl_20/139-0758525-3734348?psc=1,,0
TechMikeNY Server 2xGold 6248R 3.00Ghz 48-Core 256GB RAM M10 32GB GPU PowerEdge R740xd (Renewed),https://www.amazon.com/TechMikeNY-48-Core-PowerEdge-R740xd-Renewed/dp/B0FC33GZB9/ref=zg_bs_g_11036071_d_sccl_21/139-0758525-3734348?psc=1,,0
Dell PowerEdge R740xd Server 2X Gold 6144 3.50Ghz 16-Core 128GB RAM 12x Caddies (Renewed),https://www.amazon.com/Dell-PowerEdge-R740xd-3-50Ghz-16-Core/dp/B0CPKPR9VS/ref=zg_bs_g_11036071_d_sccl_22/139-0758525-3734348?psc=1,,0
BestParts New 2U Sliding Ready Rail Kit Compatible with Dell Poweredge R520 R530 R540 R540xd R720 R720xd R730 R730xd R740 R740xd R7415 R7425 R750 R7515 R820 0PWN3 H4X6X,https://www.amazon.com/BestParts-Sliding-Compatible-Poweredge-R720XD/dp/B089YMZSR2/ref=zg_bs_g_11036071_d_sccl_23/139-0758525-3734348?psc=1,4.2,23
Dell PowerEdge R640 Server 2.40Ghz 40-Core 128GB RAM 2X 1.92TB SSD 6X 1.8TB (Renewed),https://www.amazon.com/Dell-PowerEdge-R640-2-40Ghz-40-Core/dp/B0C6MZNPVD/ref=zg_bs_g_11036071_d_sccl_24/139-0758525-3734348?psc=1,5.0,3
Dell PowerEdge R730xd Server 2X E5-2690v4 2.60Ghz 28-Core 64GB RAM 24x Caddies (Renewed),https://www.amazon.com/Dell-PowerEdge-R730xd-E5-2690-28-cores/dp/B092RJZNXM/ref=zg_bs_g_11036071_d_sccl_25/139-0758525-3734348?psc=1,4.1,10
Dell Computers Dell PowerEdge R740 Server 2X Silver 4116 2.10Ghz 24-Core 64GB RAM 16x Caddies (Renewed),https://www.amazon.com/Dell-PowerEdge-R740-2-10Ghz-24-Core/dp/B0DB97FQ1X/ref=zg_bs_g_11036071_d_sccl_26/139-0758525-3734348?psc=1,,0
"Dell PowerEdge T340 Tower Server, Windows 2019 STD OS, Intel Xeon E-2124 Quad-Core 3.3GHz 8MB, 32GB DDR4 RAM, 8TB Storage, RAID, Single PSU (Renewed)",https://www.amazon.com/Dell-PowerEdge-Windows-Quad-Core-Storage/dp/B085W9Q56B/ref=zg_bs_g_11036071_d_sccl_27/139-0758525-3734348?psc=1,4.4,14
Dell PowerEdge R740xd Server 2X Gold 6248 2.50Ghz 40-Core 192GB RAM Bezel (Renewed),https://www.amazon.com/Dell-PowerEdge-R740xd-2-50Ghz-40-Core/dp/B0D2Z8N7H7/ref=zg_bs_g_11036071_d_sccl_28/139-0758525-3734348?psc=1,4.6,2
"Quiet Rackmount Computer (3.8-4.6GHz AMD Ryzen 7 5700G CPU, 32GB RAM, 2TB SSD, W11 Pro) - 2U Rack Mount Server or Workstation Desktop PC for Home or Business",https://www.amazon.com/Quiet-Rackmount-Computer-3-8-4-6GHz-Ryzen/dp/B0DBWXT25C/ref=zg_bs_g_11036071_d_sccl_29/139-0758525-3734348?psc=1,,0
Dell Flex-Bay with Cables for Dell PowerEdge R730xd 12-Bay + 2X SFF 2.5'' Caddies (Renewed),https://www.amazon.com/Flex-Bay-Cables-PowerEdge-Caddies-Renewed/dp/B09MR31K49/ref=zg_bs_g_11036071_d_sccl_30/139-0758525-3734348?psc=1,4.6,5
"Dell PowerEdge R730xd Server 24B SFF 2U, 2X Intel Xeon E5-2690 v4 2.6Ghz (28-cores Total), 128GB DDR4 RAM, 4X 1.2TB 10K SAS 2.5” 12Gb/s HDD, H730P 2GB RAID, NIC 10Gb + I350 1Gb (Renewed)",https://www.amazon.com/Dell-PowerEdge-R730xd-E5-2690-28-cores/dp/B092SNZG3V/ref=zg_bs_g_11036071_d_sccl_31/139-0758525-3734348?psc=1,4.5,53
Dell PowerEdge R640 Server 2X Gold 6140 2.30Ghz 36-Core 64GB H740P Rails (Renewed),https://www.amazon.com/Dell-PowerEdge-R640-2-30Ghz-36-Core/dp/B0D5YYGYBG/ref=zg_bs_g_11036071_d_sccl_32/139-0758525-3734348?psc=1,,0
Dell PowerEdge R640 Server 2X Silver 4110 2.10Ghz 16-Core 64GB RAM Rails JBOD (Renewed),https://www.amazon.com/Dell-PowerEdge-2-10Ghz-16-Core-Renewed/dp/B0D5YXLH8Y/ref=zg_bs_g_11036071_d_sccl_33/139-0758525-3734348?psc=1,5.0,1
"Hewlett Packard Enterprise ProLiant DL20 Gen11 Rack Server w/one Intel Xeon 6315P Processor, 2.8GHz, 4c 1P 1x16GB-U 2LFF-NHP 2x1TB HDD 1x290W PS (HPE Smart Choice P83278-005)",https://www.amazon.com/Hewlett-Packard-Enterprise-DL20-P83278-005/dp/B0FBNHN3Z1/ref=zg_bs_g_11036071_d_sccl_34/139-0758525-3734348?psc=1,,0
"HPE ProLiant MicroServer PC for Small Businesses (Intel Core Xeon E-2414 Processor, 32GB DDR5 RAM, 2TB Gen4 NVMe SSD, 2x3TB HDDs, 6xUSB, 5xRJ45 Ethernet, No OS, MS Server 2025 Code Included)",https://www.amazon.com/MicroServer-PC-Businesses-Xeon-Processor/dp/B0FPMT2H2D/ref=zg_bs_g_11036071_d_sccl_35/139-0758525-3734348?psc=1,4.0,1
BestParts New Trusted Platform Module TPM 2.0 Compatible with Dell Gen15 Gen16 PowerEdge Server T150 R250 R450 R550 R650XS R750 R750XA R7525 R660 R760XS T560 HS5610 HS5620 MX750c MX760C XR7620 XE8640,https://www.amazon.com/BestParts-Trusted-Platform-Compatible-PowerEdge/dp/B0BR3ZZ215/ref=zg_bs_g_11036071_d_sccl_36/139-0758525-3734348?psc=1,,0
High-End HP ProLiant DL360P G8 Server 2 x 2.90Ghz E5-2690 8C 192GB 8x Caddies (Renewed),https://www.amazon.com/HP-ProLiant-DL360P-G8-Refurbished/dp/B07DTXLZTH/ref=zg_bs_g_11036071_d_sccl_37/139-0758525-3734348?psc=1,4.8,29
"Serversuperstore Enterprise Proliant DL360 G9 Server, 2X E5-2650v3 20 Cores, 32GB, P440, 4X G9 HDD Trays (Renewed)",https://www.amazon.com/Enterprise-Proliant-Server-E5-2650v3-Renewed/dp/B07X13F67G/ref=zg_bs_g_11036071_d_sccl_38/139-0758525-3734348?psc=1,2.8,5
Dell PowerEdge R740 Server 3.60Ghz 8-Core 32GB RAM 14TB Windows Server 5X CALs (Renewed),https://www.amazon.com/Dell-PowerEdge-R740-3-60Ghz-Windows/dp/B0DX8F2HTP/ref=zg_bs_g_11036071_d_sccl_39/139-0758525-3734348?psc=1,,0
Entry Level Dell PowerEdge R620 Server | 2X 2.00GHz 12 Cores | 16GB | H310 | 2X 600GB (Renewed),https://www.amazon.com/Entry-PowerEdge-Server-2-00GHz-Renewed/dp/B07STFC3NW/ref=zg_bs_g_11036071_d_sccl_40/139-0758525-3734348?psc=1,4.8,13
"DELL PowerEdge R720 2U RackMount 64-bit Server with 2×Eight-Core E5-2670 Xeon 2.6GHz CPUs + 64GB PC3-10600 ECC RAM + 4×900GB 10K SAS 2.5"" HDD, PERC H310 RAID, DVD-ROM, 2×Power Supplies, NO OS(Renewed)",https://www.amazon.com/PowerEdge-R720-RackMount-2%C3%97Eight-Core-PC3-10600/dp/B081HZ6JDL/ref=zg_bs_g_11036071_d_sccl_41/139-0758525-3734348?psc=1,,0
Dell PowerEdge R640 Server 2.10Ghz 32-Core 256GB RAM 4X 1.92TB SSD 4X Caddies (Renewed),https://www.amazon.com/Dell-PowerEdge-R640-Enterprise-Storage/dp/B0CC6G7X5D/ref=zg_bs_g_11036071_d_sccl_42/139-0758525-3734348?psc=1,4.7,11
BestParts New 2U Short Static Rail Kit Replacement for Dell Poweredge R510 R520 R720 R720XD R730 R730XD R820 R530 R830 R540 R540XD R740 R740XD R7415 R7425,https://www.amazon.com/BestParts-Static-Replacement-Poweredge-R720XD/dp/B0D9MCY3TT/ref=zg_bs_g_11036071_d_sccl_43/139-0758525-3734348?psc=1,4.6,8
PowerEdge Dell R630 Server | 2X E5-2690 v4 = 28 Cores | 128GB RAM | 2X 1TB SSD (Renewed),https://www.amazon.com/PowerEdge-Server-E5-2690-Cores-Renewed/dp/B097S84PPM/ref=zg_bs_g_11036071_d_sccl_44/139-0758525-3734348?psc=1,4.3,79
Long Rail Kit for TrueNAS Mini R - Rackmount ZFS Storage Server with 12 Drive Bays - Supports Racks 26.5” - 36.4” deep (TrueNAS Mini R Long Rail Kit FBA),https://www.amazon.com/TrueNAS-Mini-Rackmount-Storage-Diskless/dp/B0BW2116SJ/ref=zg_bs_g_11036071_d_sccl_45/139-0758525-3734348?psc=1,3.6,13
PowerEdge Dell R740xd Server | 2X Silver 4210-2.2GHz = 20 Core | 192GB | 12x 6TB SAS (Renewed),https://www.amazon.com/PowerEdge-R740xd-Server-4210-2-2GHz-Renewed/dp/B097WF4327/ref=zg_bs_g_11036071_d_sccl_46/139-0758525-3734348?psc=1,4.1,6
Dell PowerEdge R640 10-Bay Server 2.00Ghz 40-Core 64GB RAM 2x300GB 15K 8xCaddies (Renewed),https://www.amazon.com/Dell-PowerEdge-2-00Ghz-40-Core-Renewed/dp/B0CP6HZZRJ/ref=zg_bs_g_11036071_d_sccl_47/139-0758525-3734348?psc=1,,0
"IN-WIN IW-RF100S-S265 1U Short Depth Mini-ITX Rackmount Server Chassis , 265W",https://www.amazon.com/Win-IW-RF100S-S265-Rackmount-Server-Chassis/dp/B075FPS6ZL/ref=zg_bs_g_11036071_d_sccl_48/139-0758525-3734348?psc=1,4.5,11
Dell PowerEdge R640 Server Silver 4116 2.10Ghz 12-Core 64GB RAM 8.0TB Storage (Renewed),https://www.amazon.com/Dell-PowerEdge-R640-2-10Ghz-12-Core/dp/B0CMDFKLZW/ref=zg_bs_g_11036071_d_sccl_49/139-0758525-3734348?psc=1,5.0,1
BestParts New 1U Gen10 Bezel Kit Compatible with HPE ProLiant DL120 G10 DL325 G10 DL360 G10 DL365 G10 DL360+ Gen10 Server 867998-B21,https://www.amazon.com/BestParts-Compatible-ProLiant-Server-867998-B21/dp/B0D1KQS5TH/ref=zg_bs_g_11036071_d_sccl_50/139-0758525-3734348?psc=1,,0
Consumer Lending (7th Edition),https://www.amazon.com/Consumer-Lending-Kathlyn-Farrell-Richard/dp/0899826679/ref=zg_bs_g_11036071_d_sccl_1/139-0758525-3734348?psc=1,4.0,8
"Hewlett Packard Enterprise HPE ProLiant MicroServer Gen10 Plus v2 Ultra Micro Tower Server for Small Business, Xeon E-2314 2.8GHz, 64GB Memory, 8TB SSD Storage, RAID, iLo, Server 2022 Essentials",https://www.amazon.com/Hewlett-Packard-Enterprise-MicroServer-Essentials/dp/B0C5PD49WQ/ref=zg_bs_g_11036071_d_sccl_2/139-0758525-3734348?psc=1,5.0,2
HP High-End Virtualization Server 36-Core 64GB RAM 24TB DL360 G9 (Renewed),https://www.amazon.com/HP-High-End-Virtualization-36-Core-Renewed/dp/B0BMTG2NVW/ref=zg_bs_g_11036071_d_sccl_3/139-0758525-3734348?psc=1,,0
Dell PowerEdge R720xd Server E5-2670 2.60Ghz 16-Core 256GB 10x 600GB H710 (Renewed),https://www.amazon.com/PowerEdge-R720XD-Server-E5-2670-Renewed/dp/B0839PRYJL/ref=zg_bs_g_11036071_d_sccl_4/139-0758525-3734348?psc=1,3.5,8
Enterprise Proliant DL360p G8 Server | 2X E5-2680v2 20 Cores | 144GB | P420i | 4X 600GB 10K (Renewed),https://www.amazon.com/Enterprise-Proliant-DL360p-E5-2680v2-Renewed/dp/B07RSXXGFB/ref=zg_bs_g_11036071_d_sccl_5/139-0758525-3734348?psc=1,5.0,1
Dell PowerEdge R710 Server | 2X 2.80GHz 12 Cores | 64GB RAM | H700 | 18TB Storage (Renewed),https://www.amazon.com/PowerEdge-Server-2-80GHz-Storage-Renewed/dp/B082VL7KRR/ref=zg_bs_g_11036071_d_sccl_6/139-0758525-3734348?psc=1,5.0,6
Dell PowerEdge T330 Tower Server | E3-1230v6 3.30GHz | 64GB | H330 | 4X 2TB SAS Storage (Renewed),https://www.amazon.com/PowerEdge-E3-1230v6-3-30GHz-Storage-Renewed/dp/B081D6DMG3/ref=zg_bs_g_11036071_d_sccl_7/139-0758525-3734348?psc=1,5.0,1
"Dell PowerEdge R740 2U Rack Server, Dual Xeon 6130 2.10 GHz, 256GB DDR4 Memory, 15.36TB Enterprise SSD Storage, RAID, Dual Power, iDRAC, Rail Kit (Renewed)",https://www.amazon.com/Dell-PowerEdge-R740-15-36TB-Enterprise/dp/B0CCBR5CD1/ref=zg_bs_g_11036071_d_sccl_8/139-0758525-3734348?psc=1,5.0,2
HP High-End Virtualization Server 24-Core 64GB RAM 1.92TB DL380 G9 (Renewed),https://www.amazon.com/HP-High-End-Virtualization-24-Core-Renewed/dp/B0BRKWXXGM/ref=zg_bs_g_11036071_d_sccl_9/139-0758525-3734348?psc=1,5.0,3
P3 P7920 Chemical-Free Water Conditioner consumer electronics,https://www.amazon.com/P7920-Chemical-Free-Conditioner-consumer-electronics/dp/B01DCS0IQ2/ref=zg_bs_g_11036071_d_sccl_10/139-0758525-3734348?psc=1,3.8,2
"HP ProLiant DL360 G7 1U RackMount 64-bit Server with 2xSix-Core X5650 Xeon 2.66GHz CPUs + 32GB PC3-10600R RAM + 8x146GB 10K SAS SFF HDD, P410i RAID, 4xGigaBit NIC, 2xPower Supplies, NO OS (Renewed)",https://www.amazon.com/HP-RackMount-2xSix-Core-PC3-10600R-4xGigaBit/dp/B07GVP9P9J/ref=zg_bs_g_11036071_d_sccl_11/139-0758525-3734348?psc=1,4.2,109
HP Proliant DL380 G9 Server / 2X E5-2670 V3 2.3GHz = 24 Cores / 32GB RAM / P840 / 12x 3TB SAS (Renewed),https://www.amazon.com/HP-Proliant-Server-E5-2670-Renewed/dp/B08V4Y1LRF/ref=zg_bs_g_11036071_d_sccl_12/139-0758525-3734348?psc=1,,0
HP ProLiant DL360P G8 Server 2x 2.70Ghz E5-2680 8 Core 32GB 2x 146GB 10K SAS (Renewed),https://www.amazon.com/HP-ProLiant-DL360P-G8-Refurbished/dp/B071P6ZJWT/ref=zg_bs_g_11036071_d_sccl_13/139-0758525-3734348?psc=1,3.9,10
for R710 R720 Front Panel Bezel Panel 0HP725 HP725 TF7V2 with Key for R10 Server,https://www.amazon.com/Front-Panel-Bezel-0HP725-Server/dp/B0GFWYM2KL/ref=zg_bs_g_11036071_d_sccl_14/139-0758525-3734348?psc=1,,0
"Hewlett Packard Enterprise ProLiant DL360 Gen11 Rack Server w/one Intel Xeon Silver 4510 Processor, 2.4GHz, 12c 1P 2x32GB-R 4LFF 2x4TB HDD NC BCM5719 2x800W PS (HPE Smart Choice P83285-005)",https://www.amazon.com/Hewlett-Packard-Enterprise-Processor-P83285-005/dp/B0FBNHP4V5/ref=zg_bs_g_11036071_d_sccl_15/139-0758525-3734348?psc=1,,0
Dell PowerEdge R740xd Server 2X Gold 6138 2.00Ghz 40-Core 128GB RAM 12x Caddies (Renewed),https://www.amazon.com/Dell-PowerEdge-2-00Ghz-40-Core-Renewed/dp/B0CSR9XJ32/ref=zg_bs_g_11036071_d_sccl_16/139-0758525-3734348?psc=1,,0
Dell PowerEdge R740xd2 Server 2X Gold 6138 2.00Ghz 40-Core 256GB H730P (Renewed),https://www.amazon.com/Dell-PowerEdge-R740xd2-2-00Ghz-40-Core/dp/B0CQZ4JRSP/ref=zg_bs_g_11036071_d_sccl_17/139-0758525-3734348?psc=1,,0
MikroTik RDS2216-2XG-4S+4XS-2XQ Rose Data Server (RDS).,https://www.amazon.com/MikroTik-RDS2216-2XG-4S-4XS-2XQ-Rose-Server/dp/B0F8PK8KQL/ref=zg_bs_g_11036071_d_sccl_18/139-0758525-3734348?psc=1,,0
"DELL PowerEdge T160 Server | Intel Xeon E-2434 (4 Cores, Up to 5.0 GHz) | 16GB DDR5 ECC RAM | 2TB HDD | iDRAC9 Express | Matrox G200eW Graphics | 300W PSU",https://www.amazon.com/PowerEdge-Server-iDRAC9-Express-Graphics/dp/B0F6969M4P/ref=zg_bs_g_11036071_d_sccl_19/139-0758525-3734348?psc=1,,0
Opengear IM7248-2-DAC 48-Port Console Server & Infrastructure Manager | Remote Out-of-Band Management w/ Dual Power Cord (Renewed),https://www.amazon.com/Opengear-IM7248-2-DAC-Infrastructure-Antennas-Included/dp/B0D98RL8RR/ref=zg_bs_g_11036071_d_sccl_20/139-0758525-3734348?psc=1,,0
"HPE ProLiant DL360 Gen10 1U Rack Server Bundle with Dual Xeon 6130 2.10 GHz, 256GB DDR4 Memory, 15.36TB Enterprise SSD Storage, RAID, Dual Power, iLO, Rail Kit",https://www.amazon.com/ProLiant-DL360-Gen10-15-36TB-Enterprise/dp/B0CCSWZFMP/ref=zg_bs_g_11036071_d_sccl_21/139-0758525-3734348?psc=1,,0
Supermicro AOM-TPM-9670H-S-O Spi Capable Horizontal Tpm 2.0 Cpnt Provisioned For Server,https://www.amazon.com/Supermicro-AOM-TPM-9670H-S-Horizontal-TPM/dp/B07FMBCNLH/ref=zg_bs_g_11036071_d_sccl_22/139-0758525-3734348?psc=1,5.0,2
Dell PowerEdge R630 Server 2X E5-2640v3 2.60Ghz 16-Core 64GB RAM Homelab (Renewed),https://www.amazon.com/Dell-PowerEdge-R630-E5-2640v3-Enterprise/dp/B081S6662H/ref=zg_bs_g_11036071_d_sccl_23/139-0758525-3734348?psc=1,4.2,40
Dell PowerEdge R530 Server | 2 x E5-2640v3-2.60GHz 8 Core | 64GB RAM | H730 | 8 x Trays (Renewed),https://www.amazon.com/PowerEdge-Server-E5-2640v3-2-60GHz-Trays-Renewed/dp/B07W2YY33R/ref=zg_bs_g_11036071_d_sccl_24/139-0758525-3734348?psc=1,2.4,2
Dell PowerEdge R720 Server 2X E5-2690 2.90Ghz 16-Core 192GB H710 (Renewed),https://www.amazon.com/PowerEdge-Server-E5-2690-Cores-Renewed/dp/B07QR7H4HS/ref=zg_bs_g_11036071_d_sccl_25/139-0758525-3734348?psc=1,4.6,60
"Dell Precision T5810 Workstation E5-2680 V3 2.5GHz 12-Core 64GB DDR4 Quadro NVS 315 480GB SSD, No Operating System (Renewed)",https://www.amazon.com/Dell-Precision-Workstation-Operating-Refurbished/dp/B07V5KL5MK/ref=zg_bs_g_11036071_d_sccl_26/139-0758525-3734348?psc=1,,0
PowerEdge Dell R640 Server | 2X Gold 6134 3.2GHz= 16 Cores| 256GB RAM | 8X Trays (Renewed),https://www.amazon.com/PowerEdge-Server-3-2GHz-Cores-Renewed/dp/B09DDRPJMG/ref=zg_bs_g_11036071_d_sccl_27/139-0758525-3734348?psc=1,4.0,1
HP DL380P G8 SFF Server Rails (Renewed),https://www.amazon.com/HP-DL380P-Server-Rails-Renewed/dp/B07BL37R74/ref=zg_bs_g_11036071_d_sccl_28/139-0758525-3734348?psc=1,5.0,4
"Hewlett Packard Enterprise ProLiant ML110 Gen11 Tower Server w/one Intel Xeon Silver 4410Y Processor, 2.0GHz 12‑core 1P 32GB‑R MR408i‑o 8SFF 2x480GB SSD 2x800W PS (HPE Smart Choice P69303-005)",https://www.amazon.com/Hewlett-Packard-Enterprise-ProLiant-12-core/dp/B0CN1SZQQX/ref=zg_bs_g_11036071_d_sccl_29/139-0758525-3734348?psc=1,4.0,1
PowerEdge Dell R640 Server | 2X Gold 6154 3.0GHz = 36 Cores | 512GB RAM | 8X 960GB SSD (Renewed),https://www.amazon.com/PowerEdge-R640-Server-3-0GHz-Renewed/dp/B07S647P9G/ref=zg_bs_g_11036071_d_sccl_30/139-0758525-3734348?psc=1,3.3,3
High-End HP ProLiant DL360P G8 Server 2 x 2.70Ghz E5-2680 8C 128GB 8 x 146GB 15K (Renewed),https://www.amazon.com/HP-ProLiant-DL360P-G8-Refurbished/dp/B0711XW32R/ref=zg_bs_g_11036071_d_sccl_81/139-0758525-3734348?psc=1,4.6,12
Dell/EMC PowerEdge R640 Server Bundle with 2X Gold 6148 2.4GHz 20C 64GB RAM H740P 2x120GB BOSS Card (Renewed),https://www.amazon.com/Dell-EMC-PowerEdge-R640-Refurbished/dp/B07HCNVT9Y/ref=zg_bs_g_11036071_d_sccl_82/139-0758525-3734348?psc=1,,0
Dell PowerEdge 1U Sliding Ready Rail for PowerEdge R440 and R6415 Servers - 8Y3D7,https://www.amazon.com/Dell-PowerEdge-Sliding-Ready-Servers/dp/B08MVC1441/ref=zg_bs_g_11036071_d_sccl_83/139-0758525-3734348?psc=1,3.6,9
Dell PowerEdge R630 Server 2X E5-2630v3 2.40Ghz 16-Core 64GB H730P (Renewed),https://www.amazon.com/Dell-PowerEdge-R630-E5-2630v3-2-40Ghz/dp/B08D3SWWF7/ref=zg_bs_g_11036071_d_sccl_84/139-0758525-3734348?psc=1,,0
Dell NEW IN BOX PowerEdge R520 R720 R720XD R820 2U Sliding Ready Rail Kit H4X6X (Renewed),https://www.amazon.com/Dell-PowerEdge-Sliding-Certified-Refurbished/dp/B07HLTTTYX/ref=zg_bs_g_11036071_d_sccl_85/139-0758525-3734348?psc=1,5.0,6
